bin_ind,0
4,2239
5,2322
6,2326
7,2336
8,2074
9,2188
10,2362
11,2250
12,2368
13,2414
14,2353
15,2350
16,2374
17,2247
18,2467
19,2556
20,2560
21,2375
22,2388
23,2476
24,2364
25,2402
26,2751
27,2685
28,2529
29,2580
30,2642
31,2306
32,2578
33,2732
34,2213
35,2282
36,2289
37,3205
38,2696
39,2398
40,2813
41,2540
42,2445
43,2416
44,2382
45,2111
46,2155
47,1608
48,2529
49,2349
50,2496
51,2118
52,2530
53,2470
54,2072
55,2368
56,2411
57,2231
58,2299
59,2708
60,2804
61,2600
62,2007
63,2368
64,2142
65,2474
66,2100
67,2027
68,2631
69,2469
70,2373
71,2396
72,2919
73,2868
74,2610
75,3369
76,2652
77,2145
78,2243
79,2284
80,2083
81,2299
82,2348
83,2389
84,2364
85,2639
86,1112
87,2840
88,3259
89,3606
90,2999
91,2832
92,3323
93,2982
94,2686
95,2257
96,2276
97,2684
98,2366
99,2459
100,2523
101,2401
102,2496
103,2668
104,2704
105,2505
106,2500
107,2586
108,2333
109,2544
110,2390
111,2794
112,2465
113,2696
114,2757
115,2527
116,2857
117,2920
118,2292
119,2309
120,2686
121,2584
122,2565
123,2870
124,2826
125,3051
126,2438
127,2387
128,2642
129,2421
130,2779
131,2524
132,3326
133,3294
134,3682
135,3125
136,2968
137,3020
138,2379
139,2431
140,2270
141,2526
142,2646
143,2685
144,2309
145,2516
146,2708
147,2503
148,2483
149,2630
150,2908
151,2538
152,2578
153,2528
154,2798
155,2483
156,2918
157,2609
158,2696
159,2696
160,2460
161,2666
162,2632
163,2555
164,2547
165,2905
166,2653
167,2356
168,2557
169,2515
170,2265
171,2753
172,2578
173,2485
174,1864
175,2321
176,2556
177,2719
178,2214
179,2462
180,2823
181,3309
182,2660
183,3093
184,2473
185,2993
186,2503
187,2617
188,2798
189,2527
190,2595
191,3276
192,3548
193,2711
194,3223
195,3111
196,810
200,2475
201,2800
202,3083
203,2914
204,2544
205,2630
206,2662
207,2610
208,2561
209,2350
210,2643
211,2521
212,2375
213,2473
214,2421
215,2273
216,2329
217,2581
218,2470
219,2023
220,1987
221,2680
222,3811
223,3421
224,4037
225,2909
226,3181
227,3993
228,3548
229,4304
230,3037
231,3034
232,3325
233,2457
234,2621
235,3048
236,2724
237,2642
238,2783
239,2727
240,2493
241,2426
242,2272
243,2461
244,2485
245,2300
246,2361
247,2262
248,2082
249,2625
250,2307
251,2616
252,2720
253,2523
254,2542
255,2514
256,2746
257,2746
258,2399
259,2536
260,2700
261,2706
262,2637
263,2717
264,2682
265,2490
266,2734
267,2672
268,2747
269,3064
270,2611
271,2283
272,2613
273,2529
274,2634
275,2552
276,2567
277,2427
278,2489
279,2600
280,2301
281,2635
282,2769
283,2571
284,2813
285,2570
286,2796
287,2330
288,3414
289,3056
290,2872
291,2520
292,2895
293,3030
294,2813
295,14856
296,2739
297,2008
298,2722
299,2674
300,3296
301,2527
302,2542
303,2753
304,2949
305,2928
306,2719
307,2651
308,2677
309,2586
310,2702
311,2537
312,2632
313,2608
314,2547
315,2807
316,2670
317,2561
318,2448
319,2259
320,2622
321,2685
322,2466
323,2632
324,2683
325,3093
326,2554
327,2950
328,3048
329,2722
330,2486
331,2508
332,2646
333,2772
334,2631
335,2844
336,2998
337,2718
338,3079
339,2832
340,2801
341,2498
342,2663
343,2765
344,2446
345,2693
346,3135
347,2293
348,1921
349,2794
350,2861
351,2738
352,3314
353,3057
354,3158
355,3152
356,2464
357,2903
358,2661
359,2687
360,3127
361,3125
362,3160
363,3390
364,4322
365,2905
366,2766
367,2728
368,2739
369,2615
370,3082
371,2554
372,151
373,34
374,462
375,2741
376,2867
377,3288
378,3020
379,15
383,2887
384,2713
385,2456
386,2801
387,2596
388,2681
389,2728
390,2814
391,2631
392,2557
393,3003
394,2727
395,1850
396,2593
397,2781
398,2333
399,2605
400,2308
401,2296
402,2335
403,2560
404,2681
405,2816
406,2592
407,3117
408,2469
409,2588
410,2587
411,2306
412,2651
413,2528
414,2620
415,2479
416,2314
417,2361
418,2141
419,2508
420,2229
421,2543
422,2528
423,2659
424,2630
425,2930
426,2720
427,2723
428,2532
429,2550
430,2433
431,2956
432,3121
433,2489
434,2598
435,2678
436,2706
437,2990
438,2845
439,2241
440,2492
441,2527
442,2782
443,2816
444,1945
445,2768
446,2494
447,2417
448,2478
449,2568
450,2512
451,2868
452,2828
453,2711
454,2734
455,2548
456,2739
457,2531
458,2408
459,2807
460,2442
461,2636
462,2779
463,2818
464,3400
465,3334
466,2637
467,2850
468,3518
469,3829
470,2683
471,2293
472,2416
473,1793
474,2063
475,3716
476,3137
477,3161
478,2549
479,2296
480,2516
481,2707
482,2725
483,2631
484,2507
485,2486
486,2411
487,2876
488,2847
489,2402
490,2522
491,2518
492,2384
493,1661
494,2636
495,2425
496,2613
497,2322
498,2952
499,2581
500,2430
501,3093
502,3097
503,2647
504,3122
505,3244
506,2785
507,2388
508,3001
509,2696
510,2667
511,2631
512,2923
513,2526
514,2787
515,2629
516,2553
517,2496
518,2702
519,2853
520,3113
521,2978
522,2803
523,2923
524,2793
525,2867
526,2836
527,3119
528,2762
529,2886
530,3060
531,2958
532,2798
533,2781
534,2934
535,3504
536,3394
537,3146
538,3255
539,2796
544,1787
545,2632
546,2651
547,2679
548,2212
549,2730
550,2537
551,2268
552,2909
553,2366
554,2765
555,2596
556,2408
557,2504
558,2689
559,2716
560,2540
561,2668
562,2348
563,2398
564,2859
565,2514
566,2518
567,2649
568,3026
569,2707
570,2616
571,2663
572,2735
573,2617
574,2542
575,2450
576,2580
577,2775
578,2622
579,2231
580,2529
581,2777
582,2521
583,392
584,3062
585,2826
586,3270
587,3151
588,2816
589,2736
590,2753
591,2692
592,2808
593,2480
594,2871
595,2250
596,2674
597,2796
598,3167
599,2584
600,3151
601,335
602,706
603,2680
604,2947
605,2328
606,2236
607,2263
608,2186
609,2449
610,2451
611,2197
612,1768
613,1864
614,1985
615,2254
616,2232
617,2418
618,2522
619,2338
620,2703
621,2391
622,1986
623,2200
624,2176
625,2635
626,2334
627,2245
628,2350
629,2064
630,2203
631,2343
632,2229
633,2331
634,2315
635,2299
636,2626
637,2220
638,2688
639,2469
640,2234
641,2534
642,2583
643,2525
644,2743
645,3182
646,2983
647,3287
648,3115
649,2949
650,2539
651,2240
652,2283
653,1312
654,1215
655,2183
656,1992
657,2942
658,3111
659,2800
660,2642
661,2679
662,1710
663,1303
664,2693
